    1 -15.2587 -18.8719 625662.577 0.34 230.040 	  2016   1   1  0  0  0.000000 
    2 -13.4138 -19.2691 624821.836 1.10 234.323 	  2016   1   1  0  0 29.999998 
    3 -11.5680 -19.6623 624025.623 1.75 238.853 	  2016   1   1  0  0 59.999996 
    4  -9.7214 -20.0521 623275.578 2.28 243.601 	  2016   1   1  0  1 29.999995 
    5  -7.8741 -20.4390 622573.187 2.65 248.523 	  2016   1   1  0  1 59.999993 
    6  -6.0261 -20.8236 621919.771 2.86 253.563 	  2016   1   1  0  2 29.999991 
    7  -4.1776 -21.2066 621316.484 2.89 258.657 	  2016   1   1  0  2 59.999989 
    8  -2.3286 -21.5884 620764.309 2.75 263.734 	  2016   1   1  0  3 29.999987 
    9  -0.4793 -21.9695 620264.057 2.45 268.727 	  2016   1   1  0  3 59.999986 
   10   1.3704 -22.3506 619816.362 1.98 273.576 	  2016   1   1  0  4 29.999984 
   11   3.2201 -22.7320 619421.680 1.38 278.231 	  2016   1   1  0  4 59.999982 
   12   5.0700 -23.1145 619080.293 0.66 282.655 	  2016   1   1  0  5 29.999980 
nan nan nan nan 
   13   2.5983  24.5740 648262.046 0.10 83.813 	  2016   1   1  0  6  0.000019 
   14   0.7637  24.1948 648692.220 0.61 88.149 	  2016   1   1  0  6 30.000017 
   15  -1.0707  23.8159 649144.731 1.00 92.633 	  2016   1   1  0  7  0.000015 
   16  -2.9048  23.4367 649619.089 1.25 97.224 	  2016   1   1  0  7 30.000013 
   17  -4.7386  23.0567 650114.667 1.36 101.875 	  2016   1   1  0  8  0.000012 
   18  -6.5719  22.6754 650630.699 1.33 106.536 	  2016   1   1  0  8 30.000010 
   19  -8.4047  22.2922 651166.283 1.14 111.155 	  2016   1   1  0  9  0.000008 
   20 -10.2369  21.9067 651720.384 0.82 115.683 	  2016   1   1  0  9 30.000006 
   21 -12.0685  21.5182 652291.839 0.37 120.076 	  2016   1   1  0 10  0.000004 
nan nan nan nan 
   22  24.2378   4.9118 644911.258 0.11 10.837 	  2016   1   1  0 10 30.000003 
   23  22.4068   4.4857 645087.005 2.07 10.809 	  2016   1   1  0 11  0.000001 
   24  20.5750   4.0673 645280.665 4.19 10.769 	  2016   1   1  0 11 29.999999 
   25  18.7425   3.6560 645493.273 6.54 10.712 	  2016   1   1  0 11 59.999997 
   26  16.9095   3.2507 645725.755 9.15 10.634 	  2016   1   1  0 12 29.999996 
   27  15.0760   2.8508 645978.925 12.14 10.529 	  2016   1   1  0 12 59.999994 
   28  13.2420   2.4556 646253.478 15.61 10.386 	  2016   1   1  0 13 29.999992 
   29  11.4078   2.0645 646549.984 19.76 10.189 	  2016   1   1  0 13 59.999990 
   30   9.5733   1.6767 646868.889 24.88  9.907 	  2016   1   1  0 14 29.999988 
   31   7.7386   1.2918 647210.505 31.40  9.482 	  2016   1   1  0 14 59.999987 
   32   5.9039   0.9092 647575.010 39.99  8.781 	  2016   1   1  0 15 29.999985 
   33   4.0691   0.5282 647962.447 51.58  7.433 	  2016   1   1  0 15 59.999983 
