    1 -77.3264  21.3303 663366.559 	  2016   1   1  0  0  0.000000 
    2 -75.8510  16.5182 662613.037 	  2016   1   1  0  0 29.999998 
    3 -74.3013  12.5931 661814.299 	  2016   1   1  0  0 59.999996 
    4 -72.6970   9.3446 660971.904 	  2016   1   1  0  1 29.999995 
    5 -71.0517   6.6162 660087.556 	  2016   1   1  0  1 59.999993 
    6 -69.3751   4.2924 659163.102 	  2016   1   1  0  2 29.999991 
    7 -67.6740   2.2873 658200.525 	  2016   1   1  0  2 59.999989 
    8 -65.9534   0.5363 657201.935 	  2016   1   1  0  3 29.999987 
    9 -64.2170  -1.0093 656169.570 	  2016   1   1  0  3 59.999986 
   10 -62.4677  -2.3872 655105.782 	  2016   1   1  0  4 29.999984 
   11 -60.7074  -3.6266 654013.035 	  2016   1   1  0  4 59.999982 
   12 -58.9380  -4.7504 652893.894 	  2016   1   1  0  5 29.999980 
   13 -57.1607  -5.7770 651751.017 	  2016   1   1  0  6  0.000019 
   14 -55.3766  -6.7213 650587.149 	  2016   1   1  0  6 30.000017 
   15 -53.5864  -7.5951 649405.111 	  2016   1   1  0  7  0.000015 
   16 -51.7910  -8.4083 648207.791 	  2016   1   1  0  7 30.000013 
   17 -49.9908  -9.1691 646998.134 	  2016   1   1  0  8  0.000012 
   18 -48.1864  -9.8843 645779.135 	  2016   1   1  0  8 30.000010 
   19 -46.3781 -10.5596 644553.823 	  2016   1   1  0  9  0.000008 
   20 -44.5663 -11.1999 643325.257 	  2016   1   1  0  9 30.000006 
   21 -42.7512 -11.8093 642096.513 	  2016   1   1  0 10  0.000004 
   22 -40.9331 -12.3914 640870.671 	  2016   1   1  0 10 30.000003 
   23 -39.1123 -12.9492 639650.809 	  2016   1   1  0 11  0.000001 
   24 -37.2889 -13.4855 638439.988 	  2016   1   1  0 11 29.999999 
   25 -35.4631 -14.0025 637241.244 	  2016   1   1  0 11 59.999997 
   26 -33.6350 -14.5023 636057.574 	  2016   1   1  0 12 29.999996 
   27 -31.8048 -14.9866 634891.931 	  2016   1   1  0 12 59.999994 
   28 -29.9727 -15.4572 633747.206 	  2016   1   1  0 13 29.999992 
   29 -28.1388 -15.9155 632626.226 	  2016   1   1  0 13 59.999990 
   30 -26.3031 -16.3627 631531.736 	  2016   1   1  0 14 29.999988 
   31 -24.4658 -16.8000 630466.395 	  2016   1   1  0 14 59.999987 
   32 -22.6270 -17.2284 629432.761 	  2016   1   1  0 15 29.999985 
   33 -20.7867 -17.6490 628433.289 	  2016   1   1  0 15 59.999983 
   34 -18.9452 -18.0626 627470.314 	  2016   1   1  0 16 29.999981 
   35 -17.1025 -18.4700 626546.050 	  2016   1   1  0 17  0.000020 
   36 -15.2587 -18.8719 625662.577 	  2016   1   1  0 17 30.000018 
