    1  29.2774 -144.2040 1314833.284 27.46 58.444 	  2016   1   1  0  0  0.000000 
    2  26.4062 -142.7860 1313813.629 26.88 70.260 	  2016   1   1  0  0 59.999996 
    3  23.5151 -141.4485 1312858.160 25.03 81.306 	  2016   1   1  0  1 59.999993 
    4  20.6071 -140.1789 1311976.714 22.29 91.028 	  2016   1   1  0  2 59.999989 
nan nan nan nan 
    5  31.7632 -173.7261 1315760.573 24.93 309.649 	  2016   1   1  0  3 59.999986 
    6  28.9124 -172.2259 1314693.487 30.82 302.661 	  2016   1   1  0  4 59.999982 
    7  26.0384 -170.8189 1313681.463 37.02 292.748 	  2016   1   1  0  6  0.000019 
    8  23.1449 -169.4908 1312734.941 42.67 278.702 	  2016   1   1  0  7  0.000015 
    9  20.2350 -168.2290 1311863.663 46.11 260.170 	  2016   1   1  0  8  0.000012 
   10  17.3112 -167.0224 1311076.554 45.75 239.729 	  2016   1   1  0  9  0.000008 
   11  14.3761 -165.8610 1310381.608 41.78 221.830 	  2016   1   1  0 10  0.000004 
   12  11.4318 -164.7359 1309785.796 35.92 208.492 	  2016   1   1  0 11  0.000001 
   13   8.4805 -163.6388 1309294.974 29.71 199.087 	  2016   1   1  0 11 59.999997 
   14   5.5239 -162.5620 1308913.812 23.88 192.403 	  2016   1   1  0 12 59.999994 
nan nan nan nan 
   15   5.8495 -161.8327 1320197.424 25.03 190.099 	  2016   1   1  0 13 59.999990 
   16   8.7970 -160.7579 1320500.524 32.28 187.611 	  2016   1   1  0 14 59.999987 
   17  11.7392 -159.6621 1320877.128 41.21 183.657 	  2016   1   1  0 15 59.999983 
   18  14.6742 -158.5376 1321322.882 52.11 176.475 	  2016   1   1  0 17  0.000020 
   19  17.6001 -157.3761 1321832.377 64.34 160.463 	  2016   1   1  0 18  0.000016 
   20  20.5145 -156.1685 1322399.220 72.78 118.714 	  2016   1   1  0 19  0.000013 
   21  23.4153 -154.9050 1323016.119 67.44 68.787 	  2016   1   1  0 20  0.000009 
   22  26.2995 -153.5743 1323674.974 55.41 48.102 	  2016   1   1  0 21  0.000005 
   23  29.1643 -152.1639 1324366.988 44.03 39.444 	  2016   1   1  0 22  0.000002 
   24  32.0060 -150.6591 1325082.776 34.61 34.928 	  2016   1   1  0 22 59.999998 
   25  34.8206 -149.0433 1325812.491 26.97 32.209 	  2016   1   1  0 23 59.999995 
   26  37.6033 -147.2970 1326545.952 20.69 30.418 	  2016   1   1  0 24 59.999991 
