    1  29.2774 -144.2040 1314833.284 	  2016   1   1  0  0  0.000000 
    2  26.4062 -142.7860 1313813.629 	  2016   1   1  0  0 59.999996 
    3  23.5151 -141.4485 1312858.160 	  2016   1   1  0  1 59.999993 
    4  20.6071 -140.1789 1311976.714 	  2016   1   1  0  2 59.999989 
    5  17.6849 -138.9658 1311178.328 	  2016   1   1  0  3 59.999986 
    6  14.7511 -137.7992 1310471.120 	  2016   1   1  0  4 59.999982 
    7  11.8079 -136.6699 1309862.197 	  2016   1   1  0  6  0.000019 
    8   8.8574 -135.5697 1309357.561 	  2016   1   1  0  7  0.000015 
    9   5.9014 -134.4907 1308962.038 	  2016   1   1  0  8  0.000012 
   10   2.9417 -133.4257 1308679.221 	  2016   1   1  0  9  0.000008 
   11  -0.0197 -132.3675 1308511.422 	  2016   1   1  0 10  0.000004 
   12  -2.9812 -131.3092 1308459.648 	  2016   1   1  0 11  0.000001 
   13  -5.9410 -130.2439 1308523.593 	  2016   1   1  0 11 59.999997 
   14  -8.8974 -129.1645 1308701.641 	  2016   1   1  0 12 59.999994 
   15 -11.8485 -128.0637 1308990.892 	  2016   1   1  0 13 59.999990 
   16 -14.7923 -126.9336 1309387.204 	  2016   1   1  0 14 59.999987 
   17 -17.7269 -125.7659 1309885.246 	  2016   1   1  0 15 59.999983 
   18 -20.6499 -124.5515 1310478.572 	  2016   1   1  0 17  0.000020 
   19 -23.5589 -123.2804 1311159.703 	  2016   1   1  0 18  0.000016 
   20 -26.4512 -121.9410 1311920.232 	  2016   1   1  0 19  0.000013 
   21 -29.3235 -120.5208 1312750.923 	  2016   1   1  0 20  0.000009 
   22 -32.1724 -119.0048 1313641.840 	  2016   1   1  0 21  0.000005 
   23 -34.9936 -117.3762 1314582.467 	  2016   1   1  0 22  0.000002 
   24 -37.7821 -115.6151 1315561.845 	  2016   1   1  0 22 59.999998 
   25 -40.5322 -113.6984 1316568.709 	  2016   1   1  0 23 59.999995 
   26 -43.2367 -111.5990 1317591.626 	  2016   1   1  0 24 59.999991 
   27 -45.8871 -109.2848 1318619.141 	  2016   1   1  0 25 59.999987 
   28 -48.4729 -106.7183 1319639.914 	  2016   1   1  0 26 59.999984 
   29 -50.9812 -103.8555 1320642.854 	  2016   1   1  0 27 59.999980 
   30 -53.3960 -100.6457 1321617.261 	  2016   1   1  0 29  0.000017 
   31 -55.6976 -97.0319 1322552.942 	  2016   1   1  0 30  0.000013 
   32 -57.8620 -92.9518 1323440.341 	  2016   1   1  0 31  0.000010 
   33 -59.8595 -88.3426 1324270.640 	  2016   1   1  0 32  0.000006 
   34 -61.6552 -83.1484 1325035.867 	  2016   1   1  0 33  0.000003 
   35 -63.2085 -77.3333 1325728.982 	  2016   1   1  0 33 59.999999 
   36 -64.4755 -70.8997 1326343.951 	  2016   1   1  0 34 59.999996 
   37 -65.4119 -63.9083 1326875.820 	  2016   1   1  0 35 59.999992 
   38 -65.9793 -56.4918 1327320.755 	  2016   1   1  0 36 59.999988 
   39 -66.1515 -48.8517 1327676.086 	  2016   1   1  0 37 59.999985 
